longitude,latitude,altitude,timestamp,Pressure_surface,Relative_humidity_isobaric,Temperature_isobaric,Wind_speed_gust_surface,u-component_of_wind_isobaric,v-component_of_wind_isobaric,latent1,latent2,latent3,episode
4.313364128163924005e-01,-1.012036758365603140e+00,1.028921629865680920e+00,-8.323681267767177872e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01
4.250989241848963651e-01,-1.031634401679430102e+00,1.023175185817449817e+00,-8.323592940468677037e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01
4.183089408820106492e-01,-1.051641994941915792e+00,1.012165029712046138e+00,-8.323504613170176203e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01
4.120228330860692956e-01,-1.064723276775459304e+00,1.013959208303608195e+00,-8.323416285871675369e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01
4.088604403217918626e-01,-1.089157408537136940e+00,1.012710733806247321e+00,-8.323327958573173424e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01
4.057589277687206342e-01,-1.111366859966153253e+00,1.004617533760046699e+00,-8.323239631274672590e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01
4.005792997597906746e-01,-1.126309499445484974e+00,9.989251147058844094e-01,-8.323151303976171755e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01
3.953341266936754028e-01,-1.140420081335182800e+00,9.976164022349417460e-01,-8.323062976677670921e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01
3.886994554047386585e-01,-1.149414330576106424e+00,1.007960505690060016e+00,-8.322974649379170087e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
3.835073980228099755e-01,-1.153127853219141574e+00,9.928538421091558375e-01,-8.322886322080669252e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
